MsgID.GLOBAL_HOME,1522138466.8066628,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522138466.9722729,-122.3973345,37.7925718,0.0550000
MsgID.LOCAL_VELOCITY,1522138466.9722729,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138467.0358450,10.1407576,10.2650194,-0.0577541
MsgID.LOCAL_VELOCITY,1522138467.0358450,0.0000016,-0.0000479,0.0000080
MsgID.GLOBAL_POSITION,1522138467.2257819,-122.3973353,37.7925701,0.0650000
MsgID.LOCAL_VELOCITY,1522138467.2257819,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138467.2853131,10.0551271,10.1624575,-0.0672323
MsgID.LOCAL_VELOCITY,1522138467.2853131,0.0000151,-0.0000407,-0.0000096
MsgID.GLOBAL_POSITION,1522138467.4751091,-122.3973351,37.7925721,0.0710000
MsgID.LOCAL_VELOCITY,1522138467.4751091,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138467.5367029,10.2689009,10.2334375,-0.0716066
MsgID.LOCAL_VELOCITY,1522138467.5367029,0.0000152,-0.0000486,-0.0000100
